"username,password,role,associated_id,department,email"
"admin,adminpass,admin,,,admin@example.com"
"manager_mt,pass,management,T1,MT,manager_mt@example.com"
"manager_et,pass,management,T3,ET,manager_et@example.com"
"teacher1,pass,teacher,T2,MT,teacher1@example.com"
"teacher2,pass,teacher,T4,ET,teacher2@example.com"
"student1,pass,student,ClassA,MT,student1@example.com"
"student2,pass,student,ClassB,ET,student2@example.com"
"teacher3,pass,teacher,T5,HM,teacher3@example.com"
"teacher4,pass,teacher,T6,BTTM,teacher4@example.com"
"teacher5,pass,teacher,T7,FD,teacher5@example.com"
"teacher6,pass,teacher,T8,Pharma,teacher6@example.com"
